country,life_ladder,gdp_per_capita,social_support,life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption
Afghanistan,3.594628175099691,7.650843461354573,0.5082453613479933,52.26666673024496,0.5180116767684618,0.0700407326221466,0.8432827889919281
Albania,5.019426529224102,9.384396993196928,0.7163159388762254,67.54615372877855,0.662829917210799,-0.08262758644727561,0.8693603781553415
Algeria,5.389716863632202,9.328896522521973,0.803581850869315,65.28999996185303,0.5190091828505198,-0.14428910962305963,0.690870592991511
Angola,4.420298874378204,8.989725112915039,0.7379733622074127,53.55000019073486,0.45595669746398926,-0.088023048825562,0.8670179843902588
Argentina,6.310166136423747,10.033867772420248,0.9044230381647745,67.9,0.7682535092035929,-0.15968433916568756,0.8419969042142232
Armenia,4.5136237144470215,9.270408766610283,0.7186201087066105,65.74285670689174,0.5637907470975604,-0.19980335661343165,0.8464837329728263
Australia,7.282024247305734,10.755507332938057,0.9472526822771344,72.69285692487445,0.9216483065060207,0.2741811590699049,0.4154223735843386
Austria,7.2422266740065355,10.886957535376915,0.9296000187213604,72.1030772282527,0.9061962641202487,0.1304396425302212,0.5701892513495225
Azerbaijan,4.940988540649414,9.519592353275844,0.7706493139266968,63.942857469831196,0.6621065331356866,-0.16960878164640494,0.6983297382082257
Bahrain,6.001723462885076,10.730847705494273,0.8800928890705109,67.59454553777522,0.8614672362804413,0.0627871277029044,0.553173017501831
Bangladesh,4.754564539591471,8.128453159332276,0.6071047723293305,62.040000406901044,0.7507632374763489,-0.03282272201031446,0.7426658272743225
Belarus,5.571155479976109,9.760054588317871,0.906550577708653,63.750000272478374,0.6620024229798999,-0.1690057124942541,0.6711719674723489
Belgium,6.98152038029262,10.798703670501709,0.9200178044182914,71.22857230050224,0.8535213725907462,-0.026663501487256817,0.6190783126013619
Belize,6.203145503997803,8.887803077697754,0.8145995736122131,61.90999984741211,0.7894375026226044,0.027374998666346073,0.7755449116230011
Benin,4.048054834206899,7.98599632581075,0.47716734806696576,52.93333307902018,0.7414123465617498,-0.05864056298742071,0.7844275385141373
Bhutan,5.19659948348999,9.16957155863444,0.8489551146825155,59.90000025431315,0.824841837088267,0.2993054986000061,0.6955741246541342
Bolivia,5.733356221516927,8.897636032104492,0.8063644886016845,61.87333323160807,0.8266587853431702,-0.051452940186330426,0.8207209666570028
Bosnia and Herzegovina,5.190686262570894,9.430823546189528,0.7829573933894818,67.1015384380634,0.49754289709604704,0.04545426350803329,0.9442002910834092
Botswana,3.9964269399642944,9.678781429926554,0.8261005332072576,54.9983336130778,0.8212299098571142,-0.19365710454682508,0.7821571032206217
Brazil,6.620837720235189,9.5839111328125,0.8944292823473613,65.21733322143555,0.7954445560773213,-0.07754684490366624,0.7228384772936504
Bulgaria,4.574171046415965,9.879725933074951,0.8876423140366873,66.2333329518636,0.6653781334559122,-0.1450682261493057,0.9419520199298859
Burkina Faso,4.168298336175772,7.527588257422814,0.7392488167836115,51.01230826744666,0.6525202897878793,-0.03384878846834628,0.7623848043955289
Burundi,3.548124170303345,6.722510433197021,0.41765194535255434,50.91600036621094,0.45101436972618103,-0.0366563118994236,0.7322702527046203
Cambodia,4.250843731562297,8.076307741800944,0.7190520644187928,59.38000005086263,0.9376805850437709,0.1641558326780796,0.8539057927472251
Cameroon,4.622351821263631,8.101014518737793,0.7145261446634928,49.78000005086263,0.7341659307479859,-0.012822093426560361,0.8788368026415507
Canada,7.3763193448384605,10.748257064819336,0.9354703639234815,72.69466603597006,0.9280003786087037,0.2177899862329165,0.41774590611457824
Central African Republic,3.5149543285369873,6.960998249053955,0.40255900025367736,43.35600128173828,0.6804297089576721,0.026930922642350197,0.8421291232109069
Chad,4.04523583820888,7.420066254479544,0.6670158122267041,45.91428593226841,0.4995394008500235,0.008361990031387125,0.8704877580915179
Chile,6.356697146097819,10.000478680928548,0.8491147677103679,69.33333333333333,0.7282878239949544,0.09037265628576278,0.770784076054891
Colombia,6.2484835942586265,9.469403584798178,0.8874214251836141,66.50666656494141,0.8143896579742431,-0.08055974294741948,0.8476582090059916
Comoros,3.943963408470154,7.991247892379761,0.6741893788178762,55.686667124430336,0.5281132012605667,-0.016799712165569265,0.7529676655928293
Congo (Brazzaville),4.4657073497772215,8.171264171600342,0.6338505804538727,55.93000030517578,0.7229533016681671,-0.09516155309975147,0.7850713133811951
Congo (Kinshasa),4.348440915346146,6.8840121030807495,0.7749711871147156,51.355000019073486,0.5870932303369045,-0.00800627691205591,0.8456423804163933
Costa Rica,7.17935585975647,9.742162772587367,0.9056039324828556,70.38571439470563,0.9105780933584485,-0.0009659144229122571,0.793934553861618
Croatia,5.62803473839393,10.134357085594765,0.8180852119739239,68.82000028170071,0.6406451096901526,-0.13291909373723543,0.9278232959600595
Cyprus,6.104853189908541,10.512158791224161,0.8014597571813143,72.96923123873196,0.7461898877070501,0.05677489874263605,0.8435184634648837
Czech Republic,6.591713627179463,10.466067870457968,0.9150614788134893,68.82000096638997,0.806983694434166,-0.1479860246181488,0.9052033722400665
Denmark,7.680304718017578,10.879286893208821,0.9572085420290629,71.1693328857422,0.9451308210690816,0.17094059754163027,0.20040445625782013
Djibouti,4.822564959526062,7.9324294328689575,0.7413259545962015,54.00999927520752,0.733235627412796,0.004436878371052444,0.5815402120351791
Dominican Republic,5.216168975830078,9.563392384847004,0.8739671230316162,64.49999974568685,0.8615679860115051,-0.057206995071222386,0.7509233355522156
Ecuador,5.740528742472331,9.302905146280924,0.8295739412307739,67.406667582194,0.774297547340393,-0.11222588419914245,0.7698943535486857
Egypt,4.530086517333984,9.248806317647299,0.7299713730812073,60.6826665242513,0.6249543896743229,-0.13203771199498857,0.8271353774600558
El Salvador,5.951986408233642,8.9687868754069,0.7792573610941569,64.81999994913737,0.7451414386431376,-0.1189507195726037,0.7439403414726258
Estonia,5.6330313341958185,10.343602452959333,0.9153605231216976,67.32857131958008,0.7798717277390617,-0.17166462168097496,0.6660193247454507
Ethiopia,4.3991109530131025,7.5262098842197,0.698992583486769,57.433333502875435,0.7448075347476535,0.051319742316587105,0.7242774590849876
Finland,7.597215945904072,10.749942559462328,0.9489711339657123,71.18000030517578,0.9397027079875653,0.0031861272559931073,0.2489316979279885
France,6.6697208722432455,10.676211802164714,0.9242407798767089,72.78933308919271,0.8330567042032878,-0.09846427078757967,0.6334552764892578
Gabon,4.435375822914971,9.624714003668892,0.7601793077256944,58.000000423855255,0.6783366203308105,-0.19722293151749504,0.8270902434984843
Gambia,4.734555085500081,7.668822606404622,0.6918905377388,55.0,0.7358832955360413,0.32040614386399585,0.6869310736656189
Georgia,4.2819968064626055,9.340905443827312,0.5794232606887817,64.81333363850912,0.6555956363677978,-0.24403154651323955,0.5345234970251719
Germany,6.843210474650065,10.811081949869791,0.9242655078570048,71.3106674194336,0.8619931300481161,0.0852040360466792,0.5839783052603403
Ghana,4.819116020202637,8.366979598999023,0.6895084698994954,55.21999994913737,0.8028769493103027,0.06953551962506026,0.8614585598309835
Greece,5.549909217017038,10.33336693899972,0.810152747801372,71.75714329310826,0.5090618090970176,-0.2811017414698234,0.8897787162235805
Guatemala,6.253190108707973,8.955290930611747,0.8260675285543714,62.971428462437224,0.7908823362418583,0.07070060200723154,0.7956078095095498
Guinea,4.112397988637288,7.694665696885851,0.6132478581534492,52.07777786254883,0.7079688509305319,0.03504832959475203,0.7674859099917941
Guyana,5.992826461791992,8.77328872680664,0.8487651944160461,57.2599983215332,0.6940056681632996,0.11003703624010086,0.8355690836906433
Haiti,3.9541936354203657,7.4466941139914775,0.6161958521062677,47.04909064553001,0.4617644792253321,0.3075426776300777,0.7520326430147345
Honduras,5.39269368989127,8.547291891915458,0.8105395478861672,66.02142878941127,0.7284667406763349,0.07599975120475781,0.8364125277314868
Hungary,5.306855610438755,10.204854828970772,0.9031557440757751,66.35714285714286,0.6154707840510777,-0.1539074732707097,0.9058640130928585
Iceland,7.446581482887268,10.860744714736938,0.9775783121585846,72.86499977111816,0.9315041974186897,0.2580947982413428,0.7008515298366547
India,4.473223606745402,8.489231173197428,0.6067285696665446,58.32000020345052,0.7914749423662821,0.0190775173583201,0.8284356911977132
Indonesia,5.227678060531616,9.122843742370605,0.7936132550239563,60.99285697937012,0.7688461201531547,0.39741171470710207,0.9313901151929583
Iran,4.864619218386137,9.489789295196534,0.660611276443188,64.69230739886945,0.6888121595749488,0.1681126574985683,0.7162930919573858
Iraq,4.676824768384297,9.209832270940145,0.7470325430234274,59.28999996185303,0.5214241661808707,-0.05400633801279279,0.8068216244379679
Ireland,7.067765065601894,11.064803940909249,0.9599797172205788,71.72285733904157,0.892572066613606,0.24020232752497708,0.4656768100602286
Israel,7.2184113502502445,10.503859837849935,0.9034380316734314,72.54666697184244,0.7233204046885172,0.12252242809959821,0.8375516057014465
Italy,6.285316371917725,10.647595024108886,0.8977678259213765,72.97466684977213,0.6424923857053121,-0.01149892807006836,0.9071231245994568
Ivory Coast,4.605458445019192,8.420213911268446,0.664746019575331,48.38666661580404,0.7554179297553169,-0.05805395067565971,0.7671449449327257
Jamaica,5.800125281016032,9.174687703450521,0.8822812338670095,66.4600003560384,0.8145608107248942,-0.059206212958088145,0.9025141696135203
Japan,6.016268539428711,10.567892837524415,0.9029931982358297,74.29199981689453,0.8044896841049194,-0.16237467699326003,0.6968282222747803
Jordan,5.215887292226156,9.248571459452311,0.8315858999888103,65.52399978637695,0.7422786492567796,-0.11580342160803932,0.6955598443746567
Kazakhstan,5.806170399983724,10.02560380299886,0.898508882522583,61.85333353678386,0.8024237791697184,-0.143581769336015,0.7976213733355204
Kenya,4.402907037734986,8.198026529947917,0.7795193672180176,56.71333363850911,0.7203225493431091,0.14847268871963024,0.8635691245396931
Kuwait,6.273741765455767,10.974771066145463,0.873411238193512,65.47272768887606,0.8158136129379272,-0.05182885791042021,0.5124538019299507
