country,happiness_score,gdp_per_capita,social_support,life_expectancy,freedom,corruption,clean_water_per_100_people,suicide_rate_per_100000_people,doctors_per_10000_people
Afghanistan,3.5946281750996913,7.650843461354572,0.5082453613479933,52.266666730244964,0.5180116767684618,0.8432827889919281,37.755,4.3,2.3225
Albania,5.019426529224101,9.384396993196928,0.7163159388762254,67.54615372877855,0.662829917210799,0.8693603781553415,84.06166666666667,5.193333333333333,13.092727272727272
Algeria,5.389716863632202,9.328896522521973,0.803581850869315,65.28999996185303,0.5190091828505198,0.6908705929915109,86.30499999999998,2.8800000000000003,14.449999999999998
Angola,4.420298874378204,8.989725112915039,0.7379733622074127,53.55000019073486,0.4559566974639893,0.8670179843902588,24.31388888888888,5.2,1.1675
Argentina,6.310166136423748,10.033867772420248,0.9044230381647744,67.9,0.7682535092035929,0.8419969042142232,87.36555555555556,7.28,34.32714285714285
Armenia,4.5136237144470215,9.270408766610283,0.7186201087066105,65.74285670689174,0.5637907470975604,0.8464837329728263,94.86166666666664,4.239999999999998,20.32074074074074
Australia,7.282024247305733,10.755507332938055,0.9472526822771344,72.69285692487445,0.9216483065060208,0.4154223735843386,99.56611111111108,10.359999999999998,31.45533333333333
Austria,7.242226674006535,10.886957535376917,0.9296000187213604,72.1030772282527,0.9061962641202488,0.5701892513495225,100.0,13.993333333333334,41.78535714285713
Azerbaijan,4.940988540649414,9.519592353275844,0.7706493139266968,63.942857469831196,0.6621065331356866,0.6983297382082257,69.97277777777776,2.2466666666666666,36.266
Bahrain,6.001723462885076,10.730847705494273,0.8800928890705109,67.59454553777522,0.8614672362804413,0.553173017501831,99.96944444444449,4.633333333333334,9.936875
Bangladesh,4.754564539591471,8.128453159332276,0.6071047723293305,62.04000040690104,0.7507632374763489,0.7426658272743225,95.51333333333334,5.1000000000000005,3.8929411764705892
Belarus,5.571155479976108,9.760054588317873,0.9065505777086529,63.750000272478374,0.6620024229798999,0.6711719674723489,97.56000000000002,31.53333333333333,35.24192307692307
Belgium,6.98152038029262,10.798703670501707,0.9200178044182914,71.22857230050224,0.8535213725907462,0.6190783126013619,100.0,17.14666666666666,29.088421052631574
Belize,6.203145503997803,8.887803077697754,0.8145995736122131,61.90999984741211,0.7894375026226044,0.7755449116230011,90.67277777777777,4.033333333333333,9.23
Benin,4.048054834206899,7.985996325810749,0.4771673480669658,52.93333307902017,0.7414123465617498,0.7844275385141373,55.406111111111095,7.7799999999999985,0.8662500000000001
Bhutan,5.19659948348999,9.16957155863444,0.8489551146825155,59.90000025431314,0.8248418370882671,0.6955741246541342,88.36277777777778,9.386666666666667,3.136
Bosnia and Herzegovina,5.190686262570893,9.430823546189528,0.7829573933894818,67.1015384380634,0.497542897096047,0.9442002910834092,95.94,7.4333333333333345,17.023333333333333
Botswana,3.9964269399642944,9.678781429926556,0.8261005332072576,54.99833361307779,0.8212299098571142,0.7821571032206217,61.695,9.08,3.5312499999999987
Brazil,6.620837720235188,9.5839111328125,0.8944292823473613,65.21733322143555,0.7954445560773213,0.7228384772936504,81.45888888888891,4.513333333333333,15.2425
Bulgaria,4.574171046415965,9.879725933074953,0.8876423140366873,66.2333329518636,0.6653781334559122,0.941952019929886,98.86277777777781,11.253333333333332,35.79319999999999
Burkina Faso,4.168298336175772,7.5275882574228135,0.7392488167836115,51.01230826744666,0.6525202897878793,0.7623848043955289,43.499444444444435,6.226666666666668,0.5236363636363637
Burundi,3.5481241703033453,6.722510433197021,0.4176519453525544,50.91600036621094,0.451014369726181,0.7322702527046203,52.188888888888904,6.706666666666666,0.55
Cambodia,4.250843731562297,8.076307741800944,0.7190520644187928,59.380000050862634,0.9376805850437708,0.8539057927472251,59.96222222222222,4.473333333333333,2.202
Cameroon,4.622351821263631,8.101014518737793,0.7145261446634928,49.78000005086264,0.7341659307479859,0.8788368026415507,38.76833333333333,9.833333333333336,0.9166666666666666
Canada,7.3763193448384605,10.748257064819336,0.9354703639234816,72.69466603597006,0.9280003786087035,0.41774590611457824,98.45166666666668,10.366666666666667,23.11
Central African Republic,3.5149543285369877,6.960998249053955,0.40255900025367736,43.35600128173828,0.6804297089576721,0.8421291232109069,37.74705882352941,7.06,0.61
Chad,4.04523583820888,7.420066254479544,0.6670158122267041,45.91428593226841,0.4995394008500235,0.8704877580915179,30.655,6.813333333333333,0.3675
Chile,6.356697146097819,10.000478680928547,0.8491147677103679,69.33333333333333,0.7282878239949544,0.7707840760548911,87.78499999999998,8.96,15.05
Colombia,6.2484835942586265,9.469403584798178,0.8874214251836141,66.50666656494141,0.8143896579742431,0.8476582090059916,78.77833333333334,5.993333333333332,15.19173913043478
Comoros,3.943963408470154,7.991247892379762,0.6741893788178762,55.68666712443034,0.5281132012605667,0.7529676655928293,83.13666666666668,4.98,2.03
Costa Rica,7.17935585975647,9.742162772587367,0.9056039324828556,70.38571439470563,0.9105780933584484,0.7939345538616179,93.64611111111113,6.346666666666668,20.960000000000004
Croatia,5.62803473839393,10.134357085594763,0.8180852119739239,68.8200002817007,0.6406451096901526,0.9278232959600596,98.98944444444444,15.766666666666667,27.24666666666667
Cyprus,6.104853189908542,10.51215879122416,0.8014597571813143,72.96923123873195,0.7461898877070501,0.8435184634648837,99.77388888888888,3.08,19.839230769230767
Denmark,7.6803047180175765,10.879286893208821,0.9572085420290628,71.16933288574221,0.9451308210690816,0.20040445625782013,100.0,11.393333333333334,31.951481481481487
Djibouti,4.822564959526061,7.932429432868957,0.7413259545962015,54.00999927520752,0.7332356274127959,0.5815402120351791,50.88944444444446,4.6466666666666665,1.8720000000000003
Dominican Republic,5.216168975830078,9.563392384847004,0.8739671230316162,64.49999974568685,0.8615679860115051,0.7509233355522156,84.99611111111112,7.006666666666666,14.916666666666664
Ecuador,5.740528742472332,9.302905146280924,0.8295739412307739,67.406667582194,0.7742975473403929,0.7698943535486857,78.66000000000003,6.6466666666666665,14.630526315789476
Egypt,4.5300865173339835,9.2488063176473,0.7299713730812073,60.682666524251296,0.6249543896743229,0.8271353774600558,97.755,2.806666666666666,7.6016666666666675
El Salvador,5.951986408233642,8.9687868754069,0.7792573610941569,64.81999994913737,0.7451414386431376,0.7439403414726258,73.1566666666667,9.813333333333334,15.468
Estonia,5.6330313341958185,10.343602452959333,0.9153605231216976,67.32857131958008,0.7798717277390617,0.6660193247454507,98.39666666666666,17.733333333333334,32.97793103448276
Ethiopia,4.399110953013103,7.5262098842197,0.6989925834867691,57.433333502875435,0.7448075347476535,0.7242774590849876,21.434999999999995,6.086666666666668,0.407
Finland,7.597215945904073,10.749942559462328,0.9489711339657124,71.18000030517578,0.9397027079875652,0.2489316979279885,100.0,15.753333333333332,30.958260869565216
France,6.6697208722432455,10.676211802164714,0.9242407798767088,72.78933308919271,0.8330567042032878,0.6334552764892578,100.0,16.400000000000002,33.01655172413793
Gabon,4.435375822914971,9.624714003668892,0.7601793077256944,58.000000423855255,0.6783366203308105,0.8270902434984843,47.24444444444444,5.386666666666668,2.9975000000000005
Gambia,4.734555085500081,7.668822606404621,0.6918905377388,55.0,0.7358832955360413,0.6869310736656189,65.36944444444444,4.54,1.0571428571428574
Georgia,4.2819968064626055,9.340905443827312,0.5794232606887817,64.81333363850912,0.6555956363677978,0.5345234970251719,91.29388888888887,5.3,43.55043478260869
Germany,6.843210474650066,10.811081949869793,0.9242655078570048,71.3106674194336,0.8619931300481161,0.5839783052603403,100.0,11.233333333333333,34.80592592592593
Ghana,4.819116020202637,8.366979598999022,0.6895084698994954,55.21999994913736,0.8028769493103027,0.8614585598309835,60.94666666666665,3.673333333333333,1.0433333333333332
Greece,5.549909217017038,10.33336693899972,0.8101527478013721,71.75714329310826,0.5090618090970176,0.8897787162235805,99.51333333333334,3.0266666666666664,41.62678571428571
Guatemala,6.253190108707972,8.955290930611747,0.8260675285543714,62.97142846243722,0.7908823362418583,0.7956078095095498,84.40388888888889,2.4866666666666664,7.113333333333332
Guinea,4.112397988637288,7.694665696885852,0.6132478581534492,52.07777786254883,0.7079688509305319,0.7674859099917941,51.649444444444434,5.226666666666668,0.9520000000000001
Guyana,5.992826461791992,8.773288726806639,0.8487651944160461,57.2599983215332,0.6940056681632996,0.8355690836906433,91.1616666666667,20.786666666666672,5.4849999999999985
Haiti,3.9541936354203657,7.446694113991477,0.6161958521062677,47.04909064553001,0.4617644792253321,0.7520326430147345,41.6111111111111,8.046666666666667,1.7375
Honduras,5.392693689891269,8.547291891915457,0.8105395478861672,66.02142878941127,0.7284667406763349,0.8364125277314868,82.43055555555551,2.0266666666666664,5.173333333333333
Hungary,5.306855610438755,10.204854828970774,0.9031557440757751,66.35714285714286,0.6154707840510777,0.9058640130928584,100.0,21.493333333333336,32.449655172413784
Iceland,7.446581482887268,10.860744714736938,0.9775783121585846,72.86499977111815,0.9315041974186896,0.7008515298366547,100.0,11.133333333333333,35.108000000000004
